f_frame_counter_left_camera,CAN_S_Gaze_ROI,MS_S_Gaze_ROI_X_Raw,MS_S_Gaze_ROI_Y_Raw,MS_S_Head_rot_X,MS_S_Head_rot_Y,MS_S_Head_rot_Z,HSVL_MS_S_Head_Pos_Veh_X,HSVL_MS_S_Head_Pos_Veh_Y,HSVL_MS_S_Head_Pos_Veh_Z,MS_S_Gaze_LE_Center_X,MS_S_Gaze_LE_Center_Y,MS_S_Gaze_LE_Center_Z,MS_S_Gaze_LE_VA_rot_X,MS_S_Gaze_LE_VA_rot_Y,MS_S_Gaze_LE_VA_rot_Z,MS_S_Gaze_RE_Center_X,MS_S_Gaze_RE_Center_Y,MS_S_Gaze_RE_Center_Z,MS_S_Gaze_RE_VA_rot_X,MS_S_Gaze_RE_VA_rot_Y,MS_S_Gaze_RE_VA_rot_Z,MS_S_Gaze_rot_X,MS_S_Gaze_rot_Y,MS_S_Gaze_rot_Z,headDir_X_L,headDir_Y_L,headDir_Z_L,headDir_X_R,headDir_Y_R,headDir_Z_R,headDir_X_mid,headDir_Y_mid,headDir_Z_mid,Rot_headDir_X_mid,Rot_headDir_Y_mid,Rot_headDir_Z_mid,roi_idx_h,roi_name_h,roi_X,roi_Y,intersect_x_h,intersect_y_h,intersect_z_h
45277.0000,3.0000,10.0000,78.0000,1.2000,-9.1000,1.9000,1500.0000,-425.0000,858.0000,1501.0000,-456.0000,860.0000,0.0000,-9.0000,-2.8000,1497.0000,-394.0000,862.0000,0.0000,-9.0000,-2.8000,0.0000,-8.9783,-2.8139,0.9999,-0.0161,-0.0018,0.9999,-0.0161,-0.0018,0.9999,-0.0164,-0.0022,-0.0000,0.1266,-0.9378,3, /Windshield  Driver ,42,33,1031.1774,-417.3260,859.0356
45278.0000,3.0000,10.0000,78.0000,1.3000,-9.0000,1.9000,1500.0000,-425.0000,857.0000,1501.0000,-455.0000,860.0000,0.0000,-9.2000,-2.3000,1498.0000,-394.0000,862.0000,0.0000,-9.2000,-2.3000,0.0000,-9.1593,-2.3187,1.0000,-0.0074,0.0034,1.0000,-0.0074,0.0034,1.0000,-0.0077,0.0027,-0.0000,-0.1543,-0.4421,3, /Windshield  Driver ,42,34,1025.6634,-421.3402,855.7225
45280.0000,3.0000,10.0000,78.0000,1.5000,-9.0000,1.7000,1501.0000,-423.0000,857.0000,1502.0000,-454.0000,860.0000,0.0000,-9.5000,-1.2000,1498.0000,-393.0000,861.0000,0.0000,-9.5000,-1.2000,0.0000,-9.5076,-1.2258,0.9999,0.0084,0.0087,0.9999,0.0084,0.0087,0.9999,0.0079,0.0088,0.0000,-0.5034,0.4533,3, /Windshield  Driver ,41,35,1020.7665,-426.7995,852.7801
45281.0000,3.0000,10.0000,78.0000,1.5000,-9.1000,1.6000,1501.0000,-423.0000,857.0000,1501.0000,-454.0000,859.0000,0.0000,-9.7000,-0.4000,1498.0000,-393.0000,861.0000,0.0000,-9.7000,-0.4000,0.0000,-9.6976,-0.3650,0.9997,0.0206,0.0104,0.9997,0.0206,0.0104,0.9997,0.0212,0.0104,0.0000,-0.5939,1.2150,3, /Windshield  Driver ,40,35,1019.4805,-433.2124,852.0074
45282.0000,3.0000,10.0000,78.0000,1.5000,-9.3000,1.5000,1501.0000,-422.0000,857.0000,1501.0000,-453.0000,859.0000,0.0000,-9.8000,0.2000,1498.0000,-392.0000,861.0000,0.0000,-9.8000,0.2000,0.0000,-9.8199,0.2465,0.9995,0.0293,0.0087,0.9995,0.0293,0.0087,0.9995,0.0301,0.0090,0.0000,-0.5166,1.7268,3, /Windshield  Driver ,40,35,1020.5769,-436.4837,852.6662
45283.0000,3.0000,10.0000,78.0000,1.3000,-9.4000,1.5000,1502.0000,-422.0000,857.0000,1501.0000,-453.0000,859.0000,0.0000,-9.9000,0.6000,1498.0000,-392.0000,861.0000,0.0000,-9.9000,0.6000,0.0000,-9.8923,0.6372,0.9993,0.0363,0.0087,0.9993,0.0363,0.0087,0.9993,0.0369,0.0085,0.0000,-0.4889,2.1171,3, /Windshield  Driver ,40,35,1020.9528,-439.7827,852.8921
45284.0000,3.0000,10.0000,78.0000,1.2000,-9.7000,1.5000,1502.0000,-421.0000,857.0000,1501.0000,-452.0000,859.0000,0.0000,-10.0000,0.9000,1498.0000,-391.0000,861.0000,0.0000,-10.0000,0.9000,0.0000,-9.9628,0.9312,0.9991,0.0415,0.0052,0.9991,0.0415,0.0052,0.9991,0.0420,0.0045,0.0000,-0.2594,2.4098,3, /Windshield  Driver ,39,34,1024.1857,-441.1078,854.8346
45285.0000,3.0000,10.0000,78.0000,1.0000,-9.9000,1.5000,1502.0000,-421.0000,857.0000,1501.0000,-452.0000,859.0000,0.0000,-10.0000,1.1000,1498.0000,-391.0000,861.0000,0.0000,-10.0000,1.1000,0.0000,-10.0089,1.1390,0.9990,0.0450,0.0017,0.9990,0.0450,0.0017,0.9990,0.0457,0.0018,0.0000,-0.1055,2.6166,3, /Windshield  Driver ,39,34,1026.3302,-442.7385,856.1232
45287.0000,3.0000,31.0000,56.0000,0.8000,-10.4000,1.6000,1502.0000,-420.0000,857.0000,1500.0000,-451.0000,859.0000,0.0000,-10.0000,1.6000,1498.0000,-389.0000,861.0000,0.0000,-10.0000,1.6000,0.0000,-9.9782,1.6145,0.9984,0.0554,-0.0070,0.9984,0.0554,-0.0070,0.9984,0.0556,-0.0074,0.0000,0.4256,3.1882,3, /Windshield  Driver ,39,33,1033.5891,-446.0917,860.4847
45288.0000,3.0000,37.0000,51.0000,0.7000,-10.6000,1.5000,1502.0000,-419.0000,858.0000,1501.0000,-450.0000,860.0000,0.0000,-10.0000,1.8000,1498.0000,-389.0000,861.0000,0.0000,-10.0000,1.8000,0.0000,-9.9545,1.7950,0.9983,0.0571,-0.0105,0.9983,0.0571,-0.0105,0.9983,0.0570,-0.0113,0.0000,0.6489,3.2695,3, /Windshield  Driver ,39,32,1038.2100,-445.4945,863.2613
45289.0000,3.0000,40.0000,50.0000,0.7000,-10.5000,1.4000,1502.0000,-419.0000,858.0000,1500.0000,-450.0000,860.0000,0.0000,-10.0000,1.9000,1498.0000,-389.0000,861.0000,0.0000,-10.0000,1.9000,0.0000,-9.9613,1.8811,0.9983,0.0572,-0.0088,0.9983,0.0572,-0.0088,0.9983,0.0568,-0.0095,0.0000,0.5416,3.2578,3, /Windshield  Driver ,39,32,1036.7842,-445.4801,862.4046
45290.0000,3.0000,41.0000,50.0000,0.8000,-10.4000,1.3000,1501.0000,-419.0000,858.0000,1500.0000,-450.0000,859.0000,0.0000,-10.0000,1.8000,1498.0000,-388.0000,861.0000,0.0000,-10.0000,1.8000,0.0000,-9.9908,1.8462,0.9985,0.0537,-0.0070,0.9985,0.0537,-0.0070,0.9985,0.0545,-0.0072,0.0000,0.4118,3.1249,3, /Windshield  Driver ,39,32,1035.0353,-444.4385,861.3537
45291.0000,3.0000,42.0000,51.0000,0.8000,-10.5000,1.2000,1501.0000,-418.0000,858.0000,1499.0000,-449.0000,859.0000,0.0000,-10.0000,1.9000,1498.0000,-388.0000,861.0000,0.0000,-10.0000,1.9000,0.0000,-9.9835,1.8539,0.9985,0.0537,-0.0088,0.9985,0.0537,-0.0088,0.9986,0.0529,-0.0091,0.0000,0.5186,3.0339,3, /Windshield  Driver ,39,32,1036.4619,-442.6209,862.2109
45292.0000,3.0000,43.0000,51.0000,0.7000,-10.5000,1.0000,1501.0000,-418.0000,858.0000,1499.0000,-449.0000,859.0000,0.0000,-9.9000,1.8000,1497.0000,-388.0000,861.0000,0.0000,-9.9000,1.8000,0.0000,-9.9224,1.8457,0.9988,0.0486,-0.0105,0.9988,0.0486,-0.0105,0.9987,0.0494,-0.0101,0.0000,0.5791,2.8290,3, /Windshield  Driver ,39,32,1037.2642,-440.9156,862.6930
